fbtime,title,company,experence,gzdd,zwyx,totalnum
2017-09-13 10:20:53,Java开发工程师,中金支付有限公司 ,1-3年,北京,10000-20000元/月 ,15 
2017-09-20 16:19:07,Java游戏服务器,重庆盟岩科技有限公司 ,不限,北京,8000-15000元/月 ,1 
2017-09-20 18:16:36,java开发工程师,北京天悦互动科技有限公司 ,1-3年,北京,15000-24000元/月 ,1 
2017-09-20 09:34:51,高级JAVA工程师,北京点石经纬科技有限公司 ,5-10年,北京,20000-30000元/月 ,1 
2017-09-20 17:45:26,java高级工程师,北京玩乐付科技有限公司 ,5-10年,北京,30001-50000元/月 ,1 
2017-09-08 12:10:29,Java工程师,北京家常科技有限公司 ,3-5年,北京,12000-18000元/月 ,2 
2017-09-18 09:28:51,高级java开发工程师,天津易商互动科技股份有限公司 ,3-5年,北京,15001-20000元/月 ,1 
2017-09-20 14:05:51,Java开发工程师,北京多彩投网络科技有限公司 ,3-5年,北京,10001-15000元/月 ,1 
2017-09-20 12:11:01,高级JAVA工程师,北京对啊网教育科技有限公司 ,3-5年,北京,15001-20000元/月 ,1 
0002-01-01 00:00:00,项目部一企业直招Java工程师,北京中软智信科技有限公司 ,不限,北京,4001-6000元/月 ,3 
0002-01-01 00:00:00,Java实习生,北京中软智信科技有限公司 ,不限,北京,4001-6000元/月 ,5 
2017-09-14 08:41:31,JAVA软件运维工程师（数字研发部）,中国科技出版传媒股份有限公司 ,1-3年,北京,10000-20000元/月 ,3 
2017-09-14 08:41:37,JAVA软件运维工程师（数字研发部）,中国科技出版传媒股份有限公司 ,1-3年,北京,10000-20000元/月 ,3 
2017-09-20 18:00:00,高级java开发工程师,北京致行资产管理有限公司 ,5-10年,北京,15000-30000元/月 ,1 
0002-01-01 00:00:00,初级Java软件工程师实习生,北京中软智信科技有限公司 ,不限,北京,4001-6000元/月 ,5 
2017-09-19 19:00:00,Java开发工程师,北京智网易联科技有限公司 ,3-5年,北京,15000-18000元/月 ,2 
2017-09-20 11:23:14,Java工程师-海外直播APP,北京趣加科技有限公司 ,1-3年,北京,10000-20000元/月 ,1 
0002-01-01 00:00:00,高级java工程师,房天下 ,3-5年,北京,10001-15000元/月 ,3 
2017-09-18 10:59:08,JAVA开发工程师,北京柯锐特信息技术有限公司 ,3-5年,北京,10000-20000元/月 ,3 
0002-01-01 00:00:00,日语JAVA工程师,深圳职人网络技术有限公司 ,3-5年,北京,8000-16000元/月 ,1 
